"PARTYID","POLVIEWS","NATROAD","NATSOC","NATMASS","NATPARK","EQWLTH","TAX","SPKATH","COLATH","LIBATH","SPKRAC","COLRAC","LIBRAC","SPKCOM","COLCOM","LIBCOM","SPKMIL","COLMIL","LIBMIL","SPKHOMO","COLHOMO","LIBHOMO","CAPPUN","GUNLAW","COURTS","HELPFUL","FAIR","TRUST","CONFINAN","CONBUS","CONCLERG","CONEDUC","CONFED","CONLABOR","CONPRESS","CONMEDIC","CONTV","CONJUDGE","CONSCI","CONLEGIS","CONARMY","OBEY","POPULAR","THNKSELF","WORKHARD","HELPOTH","GETAHEAD","ABDEFECT","ABNOMORE","ABHLTH","ABPOOR","ABRAPE","ABANY","XMARSEX","HOMOSEX","POLHITOK","POLABUSE","POLMURDR","POLESCAP","POLATTAK","HELPPOOR","HELPNOT","HELPSICK","HELPBLK","YEAR","ID_","CLASS_"
"5",3,"2","2","2","2",6,"1",1,1,0,1,1,0,1,0,0,1,1,0,1,1,0,1,1,"2","1","2","2","2","1","2","1","2","3","1","2","1","2","1","2","2",5,4,1,2,3,"3",1,1,1,0,1,1,"1","1",1,1,0,1,1,3,3,1,1,1987,"325","4"
"2",4,"2","2","1","1",3,"1",1,1,0,1,1,0,1,0,0,1,1,0,1,1,0,0,1,"2","1","2","1","2","1","2","1","2","3","2","1","2","2","1","2","2",5,4,1,3,2,"1",1,0,1,0,1,0,"1","3",1,0,0,1,1,2,4,2,2,1987,"326","3"
"0",6,"1","1","2","1",3,"1",1,1,0,0,0,1,1,0,0,1,1,0,1,1,0,1,1,"2","2","2","1","2","1","1","1","2","2","1","1","2","1","2","2","2",3,5,2,4,1,"2",1,1,1,1,1,1,"1","1",1,0,0,1,1,3,2,3,3,1987,"333","3"
"0",4,"2","1",NA,"2",2,"1",0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,1,1,"2","1","2","1","2","1","1","2","2","2","1","2","3","2","1","2","2",4,5,1,2,3,"1",1,0,1,0,1,0,"1","1",1,0,0,1,1,3,3,3,4,1987,"334","2"
"1",3,"2","1","3","1",3,"1",0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,1,1,"2","1","2","1","2","3","1","1","2","2","3","2","2","2","1","3","2",1,5,4,3,2,"1",1,0,1,0,1,0,"1","1",1,0,0,1,1,3,2,1,3,1987,"335","3"
"3",4,"2","2","2","1",6,"2",1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,"2","2","2","1","2","2","3","2","2","3","2","1","2","1","1","2","2",4,5,1,2,3,"1",1,1,1,1,1,1,"1","1",1,0,0,1,1,3,3,3,3,1987,"337","4"
"1",3,"2","3","2","2",5,"1",1,1,0,NA,0,0,1,0,0,1,1,0,1,1,0,NA,1,"2","1","2","1","2","1","2","1","3","3","1","1","2","1","1","2","2",5,4,1,2,3,"1",1,1,1,1,1,1,"1","4",1,0,0,1,1,3,3,1,5,1987,"344","4"
"4",4,"1","2","2","3",6,"1",1,1,0,1,1,0,1,0,0,1,1,0,1,1,0,1,1,"2","1","3","3","3","2","2","2","2","2","2","2","2","3","2","2","2",5,4,1,2,3,"2",1,1,1,1,1,1,"1","1",1,0,0,1,1,4,4,4,5,1987,"346","3"
"2",3,"2","2","2","1",3,"1",1,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,"2","2","2","1","3","1","2","2","2","2","1","1","3","1","1","2","2",3,5,1,4,2,"1",1,1,1,0,1,0,"2","1",1,0,0,1,1,3,4,2,2,1987,"347","3"
"1",3,"2","2","2","1",4,"1",0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,1,1,"2","2","1","2","2","3","2","2","3","2","2","2","3","2","1","2","2",2,5,3,4,1,"1",1,1,1,1,1,1,"1","1",1,1,1,1,1,3,3,3,5,1987,"355","3"
