"","PARTYID","TAX","FUND","HAPPY","LIFE","SATJOB","SATFIN","FINALTER","XMOVIE","FEAR","PISTOL","SHOTGUN","RIFLE","PHONE","YEAR","ID_","CLASS_"
"256","1","1","1","1","1","1","2","1",1,1,"1","1","2","3",1987,"359","3"
"257","1","1","3","1","1","1","1","1",1,0,"2","2","2","3",1987,"361","3"
"258","4","1","2","2","1","2","1","1",0,0,"2","1","2","3",1987,"366","3"
"259","1","2","2","1","1","1","1","1",1,0,"2","2","2","3",1987,"370","3"
"260","4","1","3","2","1","1","2","1",1,1,"1","2","2","3",1987,"381","3"
"261","1","2","3","2","1","1","2","3",0,1,"2","2","2","3",1987,"382","3"
"262","1","2","2",NA,"1","1","1","3",0,0,"1","2","1","3",1987,"383","1"
"263","1","1","3","2","2","3","2","3",0,1,"2","2","2","3",1987,"387","3"
"264","5","2","3","2","2","1","2","1",0,1,"1","1","2","3",1987,"388","3"
"265","5","1","3","2","2","1","2","1",1,0,"1","1","2","3",1987,"395","3"
"266","5","1","3","1","1","2","2","1",1,0,"2","1","1","3",1987,"399","2"
"267","4","2","2","2","2","2","1","1",1,0,"2","2","2","3",1987,"401","3"
"268","5","2","1","2","1","1","2","3",0,0,"2","2","2","3",1987,"416","3"
"269","5","1","3","2","1","1","3","3",0,1,"2","2","2","3",1987,"422","3"
"270","3","1","1","2","2","2","1","1",1,0,"2","2","2","3",1987,"431","3"
"271","6","1","3","1","2","1","2","2",0,0,"2","2","2","3",1987,"432","3"
"272","4","2","2","1","1","3","2","1",0,0,"2","2","2","3",1987,"440","1"
"273","5","1","2","1","1","2","2","1",1,0,"2","2","1","3",1987,"451","3"
"274","0","1","2","1","1",NA,"1","1",0,0,"1","1","1","3",1987,"452","3"
"275","1","2","2","2","1","2","1","1",0,0,"2","2","2","4",1987,"455","2"
"276","2","2","2","2","2","4","1","1",1,0,"2","2","2","3",1987,"461","2"
"277","3","1","3","2","2","1","2","3",0,1,"2","2","2","3",1987,"465","2"
"278","3","1","3","2","1","1","2","1",1,1,"1","2","2","3",1987,"467","3"
"279","2","1","2","1","1","1","1","1",0,0,"2","2","2","3",1987,"468","2"
"280","6","2","3","1","2","1","2","1",1,0,"1","1","1","3",1987,"472","2"
"281","5","1","3","1","2","2","2","3",0,0,"1","1","1","3",1987,"474","3"
"282","1","1","2","1","1","2","2","1",0,0,"2","2","2","3",1987,"475","2"
"283","3","1","1","1","2","2","2","1",0,0,"2","2","2","3",1987,"477","2"
"284","6","2","2","2","2","2","3","2",0,1,"2","1","2","3",1987,"479","3"
"285","1","1","3","2","1","1","2","1",1,0,"2","2","2","3",1987,"480","3"
"286","3","1","2","3","2",NA,"3","2",1,1,"2","2","2","3",1987,"481","1"
"287","1",NA,"2","2","2","1","1","1",0,0,"2","2","2","3",1987,"484","2"
"288","5","2","3","2","2","1","1","3",0,0,"2","2","2","3",1987,"486","3"
